prefill_len,prefill_time,prefill_total,prefill_input_tensor,prefill_kv_cache_alloc,prefill_kv_cache_allocate_tokens,prefill_kv_metadata,prefill_planning,prefill_embedding,prefill_logits,prefill_ln_attn,prefill_qkv_proj,prefill_rope,prefill_kv_append,prefill_attn_kernel,prefill_o_proj,prefill_ln_ffn,prefill_ffn
256,0.026121087968349457,0.026121087968349457,7.923199981451035e-05,2.7103999629616738e-05,3.6671999841928484e-05,5.910399928689003e-05,0.00027004799246788027,4.163200035691261e-05,0.0005012800097465515,0.002060735985636711,0.0028833599984645843,0.0008082879986613989,0.002903583988547325,0.0018450559973716733,0.001961664002388716,0.002175040010362864,0.005793024003505706
512,0.024796384036540987,0.024796384036540987,6.620799750089646e-05,2.6079999282956125e-05,2.6976000517606734e-05,5.3536001592874524e-05,0.00022697600722312928,3.311999887228012e-05,0.0004967040121555328,0.0018101119957864282,0.0027154879942536355,0.000857472002506256,0.00260876800864935,0.0016053120046854018,0.0018751040101051331,0.0019230719879269598,0.0063504320234060285
1024,0.026478080034255978,0.026478080034255978,8.361600339412689e-05,2.486399933695793e-05,3.0112000182271003e-05,5.868799984455109e-05,0.00027484801411628725,3.990399837493896e-05,0.0005817599892616272,0.0018041600026190282,0.0028676159828901282,0.0011497600078582766,0.002664352007210255,0.0016803519986569881,0.0019298879988491533,0.0019184640012681485,0.0074122560024261494
2048,0.03612703996896744,0.03612703996896744,9.388799965381622e-05,3.6928001791238784e-05,5.020799860358238e-05,7.939200103282929e-05,0.0003269439935684204,5.2064001560211184e-05,0.0008882240056991577,0.002352223999798297,0.003816415995359421,0.0018016640022397038,0.003355039976537228,0.002224192015826702,0.0024904959872365,0.0023701759874820718,0.011549951940774916
4096,0.04405983996391297,0.04405983996391297,8.028800040483475e-05,2.7103999629616738e-05,4.0800001472234724e-05,5.523199960589409e-05,0.0002890560030937195,5.2480001002550127e-05,0.0016412479877471924,0.0020962560214102272,0.0038630079999566074,0.002865727998316288,0.002774847984313965,0.003262175999581813,0.002892736010253429,0.0021242240145802494,0.018965632140636443
8192,0.07070489645004273,0.07070489645004273,8.908800035715103e-05,2.4512000381946565e-05,3.98080013692379e-05,7.16800019145012e-05,0.0003248000144958496,6.841599941253662e-05,0.003023808002471924,0.0027241600155830377,0.0059974400252103795,0.0050782719850540154,0.002911903969943524,0.0077257599979639055,0.00483616004884243,0.0027230719774961475,0.03339113581180573
16384,0.1361686396598816,0.1361686396598816,7.430399954319001e-05,2.2431999444961547e-05,4.569600149989128e-05,8.33280012011528e-05,0.0003597120046615601,9.366399794816971e-05,0.006051839828491211,0.00485180801153183,0.010329568028450014,0.010481152087450027,0.003032672002911568,0.02347494411468506,0.008266336083412169,0.004781856000423432,0.0655487039089203
32768,0.30574566268920905,0.30574566268920905,0.00012729600071907044,3.033600002527237e-05,6.92479982972145e-05,0.00012726399302482604,0.0005805119872093201,0.00017606399953365326,0.012682623863220215,0.008719615936279297,0.019986464142799382,0.020929983973503107,0.0049874560236930834,0.0839911046028137,0.016346271991729736,0.008633472084999086,0.13429500722885132
65536,0.7468570899963379,0.7468570899963379,0.00011151999980211257,2.72000003606081e-05,0.00010019200295209884,0.00016118399798870087,0.0007279040217399597,0.00026998400688171386,0.0257969913482666,0.01626032018661499,0.03920083189010619,0.041333088040351865,0.0053784000277519225,0.32458275222778327,0.030420991957187657,0.016249567985534667,0.26714793777465823
