decode_len,prefill_time,decode_time,total_time,prefill_ln_attn,prefill_qkv_proj,prefill_rope,prefill_kv_append,prefill_attn_kernel,prefill_o_proj,prefill_ln_ffn,prefill_ffn,prefill_total,prefill_embedding,prefill_logits,decode_ln_attn,decode_qkv_proj,decode_rope,decode_kv_append,decode_attn_kernel,decode_o_proj,decode_ln_ffn,decode_ffn,decode_total,prefill_fine_input_tensor,prefill_fine_kv_cache_alloc,prefill_fine_kv_metadata,prefill_fine_planning,prefill_fine_embedding,prefill_fine_layers,prefill_fine_logits,prefill_fine_total,decode_fine_input_tensor,decode_fine_kv_cache_alloc,decode_fine_kv_metadata,decode_fine_planning,decode_fine_embedding,decode_fine_layers,decode_fine_logits,decode_fine_total
32,0.8256495971679687,0.9330244503021239,1.7586740474700926,0.03190412789583206,0.0698666558265686,0.007762015953660011,0.00627715203166008,0.026647776007652283,0.052780352115631105,0.03159663987159729,0.5311991357803345,0.7667803840637207,0.0004915840029716492,0.055502559661865236,0.056150080010294916,0.08504675186425448,0.02572899199090898,0.08279555197805166,0.13215180834382773,0.057744607977569105,0.05970943995192647,0.20127392007410527,0.8638901117444039,0.00019344000518321992,0.000296671986579895,0.00028796800971031186,0.0008221439719200134,0.0004915840029716492,0.7667803840637207,0.055502559661865236,0.8253558349609375,0.006542687997221948,0.0032614719942212103,0.009474495977163315,0.004052511997520923,0.000999104004353285,0.8638901117444038,0.01580015996098519,0.9278600921630858
64,0.8245660400390625,1.8895643634796144,2.714130403518677,0.0319514878988266,0.06994060826301575,0.007807840004563331,0.006415391981601715,0.026795680165290832,0.052866752028465275,0.03158092814683914,0.5303747844696045,0.7644660167694092,0.0004952639937400818,0.05590524673461914,0.11214521604031324,0.17218144000321628,0.05147036796063185,0.16602995210140944,0.27786864003539086,0.11453619191795587,0.11960371202230453,0.40251056037843225,1.7461043201088906,0.0002773439884185791,0.0003356480002403259,0.0003420799970626831,0.0012216960191726684,0.0004952639937400818,0.7644660167694092,0.05590524673461914,0.8241073608398437,0.013074368000030517,0.006967040002346038,0.021243264019489286,0.009259295985102651,0.0020423999913036827,1.7461043201088913,0.03152758398652077,1.8779772853851318
128,0.828466796875,3.79777417755127,4.6262409744262705,0.03204156768321991,0.0701703360080719,0.007807104006409645,0.006455903977155685,0.029977759778499605,0.05288972783088684,0.03170451217889786,0.5322016296386719,0.7706385307312011,0.0004962239861488342,0.053578910827636717,0.22456784001365304,0.3408111360371113,0.10177142393961548,0.33269964783638717,0.5813543680012226,0.2286353598162532,0.23868940787389875,0.8045605119764805,3.509910686433315,0.00027968001365661624,0.0003261759877204895,0.0003664959967136383,0.0011345280408859254,0.0004962239861488342,0.7706385307312011,0.053578910827636717,0.8278716430664063,0.026098911896348012,0.0145149759799242,0.04455174407362939,0.017821503996849054,0.004058912012726069,3.5099106864333134,0.06310998404026034,3.7757479934692384
256,0.83435595703125,7.767064664840694,8.601420621871943,0.032039391934871674,0.07011971235275269,0.007822944045066834,0.00656073597073555,0.03361433571577072,0.05293478417396545,0.03160675197839737,0.5317638072967529,0.7734012546539306,0.0004978559911251069,0.05642550277709961,0.4461381121836603,0.6781116802021862,0.20529628797993063,0.6632663360908627,1.3315643517225981,0.45958687990903857,0.4764754559919238,1.606866304844618,7.179744381964206,0.00027004799246788027,0.00031177601218223573,0.0004188160002231598,0.0011773120164871216,0.0004978559911251069,0.7734012546539306,0.05642550277709961,0.8335923461914062,0.05207955196499823,0.0278944640159607,0.10232995197176936,0.03623199988901618,0.00815830402262509,7.179744381964207,0.1259672959446907,7.7224290218353255
512,0.844315185546875,16.284714862823463,17.12903004837034,0.03199257606267929,0.07030604791641236,0.0077850879877805704,0.006438111990690231,0.04272438383102417,0.05306112015247345,0.031666879951953886,0.5332475852966309,0.7839354915618897,0.0005002560019493103,0.05616876983642578,0.896937632150948,1.3616205117180944,0.4087654717955738,1.3366676155850292,3.346297983765602,0.9180154876075685,0.9571364479362965,3.212650146409869,15.055432193219662,0.00027347201108932496,0.00030511999130249025,0.0005517439842224121,0.0012051199674606324,0.0005002560019493103,0.7839354915618897,0.05616876983642578,0.8439676513671875,0.10507823985815046,0.0558782399594784,0.25744361564517027,0.07225193600356573,0.01646179205551742,15.055432193219652,0.25212393650412573,16.19617216300964
1024,0.8675919189453125,35.47731298828126,36.34490490722658,0.03203033596277237,0.0704515519142151,0.007773183986544609,0.0063192319869995114,0.05962774431705475,0.05319308805465698,0.03168943983316422,0.5343241291046142,0.8018820514678955,0.0004966399967670441,0.06139705657958985,1.7789303042702376,2.71391580799222,0.8249176634773612,2.6700597454085946,9.388842111051083,1.8454224958457053,1.9112931516207754,6.428694147065282,32.80019377672672,0.00020937600731849672,0.0002969599962234497,0.0007588800191879273,0.0011759999990463258,0.0004966399967670441,0.8018820514678955,0.06139705657958985,0.8672120361328125,0.21159603205323227,0.11011702391505247,0.7383114236593257,0.14246998411416983,0.0331328959558159,32.8001937767267,0.5037583681643014,35.29947024536129
