prefill_len,prefill_time,prefill_ln_attn,prefill_qkv_proj,prefill_rope,prefill_kv_append,prefill_attn_kernel,prefill_o_proj,prefill_ln_ffn,prefill_ffn,prefill_total,prefill_embedding,prefill_logits,prefill_fine_input_tensor,prefill_fine_kv_cache_alloc,prefill_fine_kv_metadata,prefill_fine_planning,prefill_fine_embedding,prefill_fine_layers,prefill_fine_logits,prefill_fine_total
256,0.025492223739624023,0.001744096003472805,0.0025158080011606215,0.0007100479993969203,0.002563680000603199,0.0015836800001561642,0.0017767040096223355,0.001847135990858078,0.005830880016088486,0.023736895918846132,3.31839993596077e-05,0.000489791989326477,5.980800092220306e-05,4.4319998472929e-05,4.7711998224258425e-05,0.0002268799990415573,3.31839993596077e-05,0.023736895918846132,0.000489791989326477,0.025380287170410156
512,0.026240192413330077,0.0017475840002298356,0.0026475519835948945,0.0008347200080752373,0.0025485760122537613,0.001626335997134447,0.0018064320012927055,0.001830495998263359,0.006410399958491325,0.024521215915679934,3.084800019860268e-05,0.000492031991481781,5.603199824690819e-05,4.092799872159958e-05,4.7200001776218416e-05,0.00019504000246524811,3.084800019860268e-05,0.024521215915679934,0.000492031991481781,0.026127103805541993
1024,0.02779587173461914,0.001728927992284298,0.0027752320021390917,0.0011201600059866906,0.0025201920121908188,0.0016384960040450097,0.0019181120023131371,0.0018532480038702488,0.007371839985251426,0.02595980793237686,3.1647998839616774e-05,0.0005736960172653199,6.009599938988686e-05,4.201599955558777e-05,5.001600086688995e-05,0.00019206400215625763,3.1647998839616774e-05,0.02595980793237686,0.0005736960172653199,0.027649215698242188
2048,0.03387862396240234,0.001785599984228611,0.0031898880302906035,0.0016871360056102277,0.0026081279814243316,0.0018598720133304596,0.0023546239882707596,0.0018822399973869323,0.011188288033008576,0.031687872111797334,3.5519998520612714e-05,0.0008708480000495911,5.644800141453743e-05,4.329600185155869e-05,4.9663998186588286e-05,0.0002101760059595108,3.5519998520612714e-05,0.031687872111797334,0.0008708480000495911,0.03370147323608398
4096,0.04645676803588867,0.0020660479813814163,0.0037613440081477167,0.0028453759998083115,0.002642976000905037,0.003224927991628647,0.0028413440063595773,0.0021233920082449915,0.018734784007072448,0.04342736005783081,4.320000112056732e-05,0.0016049280166625976,5.8559998869895935e-05,4.848000034689903e-05,5.776000022888184e-05,0.0002444480061531067,4.320000112056732e-05,0.04342736005783081,0.0016049280166625976,0.04623382568359375
8192,0.07417884826660157,0.0026919680014252665,0.005869920000433922,0.005069344013929367,0.0027088319882750513,0.0076906239986419675,0.004737984031438828,0.002690656013786793,0.03306511986255646,0.06976505661010741,5.8336000889539715e-05,0.003001568078994751,6.876800209283829e-05,5.270399898290634e-05,6.230400130152702e-05,0.00027081599831581114,5.8336000889539715e-05,0.06976505661010741,0.003001568078994751,0.0740381088256836
16384,0.140495361328125,0.00480272001028061,0.009983167976140976,0.010326527953147887,0.002927327997982502,0.022681727886199952,0.008019872009754181,0.004749311983585358,0.0640738558769226,0.13299200057983399,8.777599781751632e-05,0.005920639991760254,6.956800073385239e-05,6.457599997520447e-05,7.452800124883651e-05,0.0003533119857311249,8.777599781751632e-05,0.13299200057983399,0.005920639991760254,0.1403435516357422
32768,0.30723001098632813,0.008535456001758576,0.01905436807870865,0.020516319811344146,0.0035559039935469626,0.08115385580062866,0.015451392114162445,0.008437279880046845,0.1306882243156433,0.2931738224029541,0.00014604799449443817,0.012231904029846192,7.407999783754349e-05,7.049600034952164e-05,9.375999867916108e-05,0.0004559679925441742,0.00014604799449443817,0.2931738224029541,0.012231904029846192,0.30706024169921875
65536,0.7561651000976563,0.016227679789066314,0.0379559041261673,0.040967423915863034,0.004900256007909775,0.3162761278152466,0.029606496036052705,0.01609743997454643,0.26039679956436157,0.728869888305664,0.0002773120105266571,0.024914400100708008,0.00010143999755382538,0.00010710400342941284,0.0001440639942884445,0.0006455039978027344,0.0002773120105266571,0.728869888305664,0.024914400100708008,0.7559419555664062
