prefill_len,prefill_time,prefill_ln_attn,prefill_qkv_proj,prefill_rope,prefill_kv_append,prefill_attn_kernel,prefill_o_proj,prefill_ln_ffn,prefill_ffn,prefill_total,prefill_embedding,prefill_logits,prefill_fine_input_tensor,prefill_fine_kv_cache_alloc,prefill_fine_kv_metadata,prefill_fine_planning,prefill_fine_embedding,prefill_fine_layers,prefill_fine_logits,prefill_fine_total
256,0.012515677022747695,0.0012320330715738237,0.0016312719671986997,0.0004242949653416872,0.002193027175962925,0.0011012139148078859,0.00123250501928851,0.0014849301078356802,0.0021880078711546957,0.01151042286073789,2.4609966203570366e-05,0.0001070189755409956,5.1309994887560606e-05,3.506900975480676e-05,3.974995343014598e-05,0.00020798901095986366,2.4609966203570366e-05,0.01151042286073789,0.0001070189755409956,0.012032350001391023
512,0.012730425980407745,0.0012699732324108481,0.001645528944209218,0.0004297348787076771,0.0022438789601437747,0.001112275233026594,0.0012274320470169187,0.001468899892643094,0.0023176393005996943,0.011738022090867162,2.0759995095431805e-05,0.00010405899956822395,5.128001794219017e-05,3.657001070678234e-05,4.6419037971645594e-05,0.00016827898798510432,2.0759995095431805e-05,0.011738022090867162,0.00010405899956822395,0.012218768999446183
1024,0.016237036033999175,0.0014954860089346766,0.0020647060591727495,0.0005131781799718738,0.0027564798365347087,0.0013381160679273307,0.0014623652095906436,0.001782116072718054,0.002654400886967778,0.014094047946855426,3.470998490229249e-05,0.00010460900375619531,8.179002907127142e-05,4.798895679414272e-05,6.936996942386031e-05,0.0002721180208027363,3.470998490229249e-05,0.014094047946855426,0.00010460900375619531,0.014778763987123966
2048,0.019979033968411386,0.0012431730283424258,0.0017199107096530497,0.0004285090835765004,0.0022955460008233786,0.0011182131129316986,0.0012391010532155633,0.0014725440996699035,0.0024146148352883756,0.011953881883528084,2.3769971448928118e-05,0.00010444998042657971,6.379903061315417e-05,5.003000842407346e-05,5.129002965986729e-05,0.0002382280072197318,2.3769971448928118e-05,0.011953881883528084,0.00010444998042657971,0.01254299801075831
4096,0.032478673034347594,0.0012794201611541212,0.0016796780400909483,0.0004297979758121073,0.0022352819214574993,0.001117110950872302,0.0012165519874542952,0.0014578909613192081,0.0024105902411974967,0.01184923219261691,2.2939988411962986e-05,0.00010067998664453626,5.5329990573227406e-05,3.71299684047699e-05,4.890898708254099e-05,0.00022100901696830988,2.2939988411962986e-05,0.01184923219261691,0.00010067998664453626,0.012385908979922533
8192,0.06278525700327009,0.0012828509788960218,0.0017127711325883865,0.00044035696191713214,0.0022535279858857393,0.0011333911679685116,0.0012477040872909129,0.001483243249822408,0.0024713549646548927,0.012048679986037314,2.4540000595152378e-05,0.00010404997738078237,6.276904605329037e-05,3.846001345664263e-05,5.408999277278781e-05,0.00025183800607919693,2.4540000595152378e-05,0.012048679986037314,0.00010404997738078237,0.012640006956644356
16384,0.12965391197940335,0.001757799182087183,0.0025677348603494465,0.0006010067299939692,0.0031890248064883053,0.001576888025738299,0.0019383489270694554,0.002055087999906391,0.0034119500196538866,0.017130991036538035,4.2490020859986544e-05,0.00011022895341739058,9.180896449834108e-05,6.757001392543316e-05,9.455898543819785e-05,0.0004927469999529421,4.2490020859986544e-05,0.017130991036538035,0.00011022895341739058,0.018106164992786944
32768,0.30608052597381175,0.004085966967977583,0.0019882278866134584,0.0005066581652499735,0.002376506046857685,0.0012016318505629897,0.00236899615265429,0.0062153859762474895,0.0056153981713578105,0.024383180192671716,3.0499999411404133e-05,0.002940682985354215,7.791002281010151e-05,6.417895201593637e-05,9.285000851377845e-05,0.00044516701018437743,3.0499999411404133e-05,0.024383180192671716,0.002940682985354215,0.028093728993553668
65536,0.7680575760314241,0.033343297021929175,0.006579032051376998,0.0010545451659709215,0.012240440002642572,0.0112103441497311,0.013427571102511138,0.003078071866184473,0.012758608849253505,0.09371842991095036,4.403002094477415e-05,0.011308215034659952,0.00010179000673815608,9.263900574296713e-05,0.0001352289691567421,0.0006101869512349367,4.403002094477415e-05,0.09371842991095036,0.011308215034659952,0.1060860599973239
